Unnamed: 0,Pre_GPCC,Pre_GPCP,Pre_Gsmap,Pre_IMERG,Pre_PERSIANN_CDR,ET_FLUXCOM,ET_GLDAS,ET_GLEAM,ET_PT-JPL,GRDC,TWSC_GRACE_CSR_calculate,TWSC_GRACE_GFZ_calculate,TWSC_GRACE_JPL_calculate,TWSC_GRACE_Mascon_JPL_calculate,SM_GLDAS,SWE_GLDAS
200407,94.15016178,96.52232143,85.3806008,100.9958251,101.0164126,127.484462,123.189054,85.96455637,98.97443757,19.82275211,-18.598642121415892,-38.23475259589034,-29.52559189996472,-29.921851058075948,507.566502,0.020908551
200408,82.49263986,80.99434989,68.14182297,88.57060299,86.8753406,110.9348668,98.71426899,77.76264475,85.43129434,16.95559958,-36.41677780453915,-44.499991106550105,-28.573077855498305,-25.53690139807553,487.3702742,0.012948026
200409,59.72487015,62.03715733,50.01074572,64.45639328,64.82230288,66.56983374,56.34256855,47.42066161,43.61720342,12.72660116,-21.10361038267135,-10.112333598633043,-13.807469319908051,-14.667736848275112,469.2380364,0.038780454
200410,57.76700869,61.87917655,48.27498081,64.53924674,65.5866187,33.37306864,24.00716323,32.62863483,21.89783575,15.02524982,27.129800831605323,38.81611210616286,29.114173404484198,31.220119550453816,496.9003321,0.127066828
200411,76.20351882,94.18776158,62.72647938,88.89737578,98.60396798,14.03970991,12.87775673,19.01417612,6.248932635,19.07759215,44.66688241402649,53.888573943748824,39.51427742412952,43.07045415876837,550.3200783,3.825282791
200412,42.27425707,59.37692261,35.00003428,55.09092903,63.09864612,7.556089778,6.516173152,10.50782381,2.084032222,22.20276441,30.917774649576064,16.153368767260645,20.26595731185498,21.05062414327652,583.9486546,7.890793304
200501,50.38992251,76.69398717,35.40703151,68.81759351,77.15354649,9.493889684,10.28103713,13.07107885,1.685318909,18.87952384,39.45130894841159,28.298413593384293,35.08050139026917,36.230075200634495,603.1742166,15.93695717
200502,60.736541,94.25946917,50.91640616,83.05196337,91.30554964,14.00583217,9.251281239,14.75975764,1.672156654,16.38067,41.71263911594468,43.6270340260715,42.94220228403373,46.076997172175574,617.6580381,50.36854458
200503,41.13252778,52.64216832,30.90070404,51.23987468,53.88348838,36.46778704,26.74052974,32.9085384,19.54293802,28.06875911,-1.8534679204078657,5.098562817080179,-0.9276503753421252,1.6095995070596985,656.5457255,42.28693375
200504,76.03148948,85.40307617,70.10370736,85.53824586,89.45157101,71.66883378,60.91660635,58.19562117,42.00581415,43.24282421,-9.11767063376979,2.2033771101704076,-6.193290105802333,-6.608197119042941,655.6063096,5.240920563
200505,88.62093409,95.16288539,77.05358122,95.33589037,93.49104862,113.7513492,104.3290936,81.96971326,81.6071984,44.83806552,-23.129976332407736,-29.77047794220482,-21.970171663229586,-21.639668910911077,618.7567268,1.195642705
200506,78.53010048,83.13969203,66.98793463,84.13994461,84.64035358,130.7568985,121.3280824,85.67364718,99.56536868,33.55788848,-38.1579873292783,-49.95585567936721,-40.28299415903953,-31.607758195974043,571.297471,0.035133258
200507,130.4022054,136.2150356,124.8881074,139.6503784,140.2995253,135.3172332,122.1582723,92.7800579,104.4106436,30.91771047,-13.319496041170922,-8.651255535785207,-13.278886217088932,-8.357497180592194,552.9261325,0.022460337
200508,157.1978457,163.3630371,151.9212186,167.6184737,165.0766987,106.9204822,95.20834043,77.19219389,81.715376,30.27532925,-5.40429601205511,3.5844469850047296,-2.958674739915302,-5.341462473468198,562.3121594,0.019087497
200509,78.65058753,87.32861328,74.84645443,84.59261544,82.79342643,69.90845883,67.16134303,53.45637666,50.36237461,31.24853532,2.1024042616119267,-1.386133411214629,6.036342887667233,0.08288106773066772,560.9244295,0.038135388
200510,27.81257451,26.3437064,24.68282638,31.1690866,33.41018286,33.9116959,36.46253406,30.46240101,21.66953616,25.43072098,-1.5022871521633778,-13.706269643275355,-6.512931346458337,-7.062760497233447,568.5395947,0.119477649
200511,49.40405739,58.51572527,42.01812891,57.30677238,60.34981693,13.41450726,12.01972018,17.24574517,6.42781896,15.40104089,20.494817263503514,17.415109890311914,13.506076425617923,17.847413316005106,560.9696015,2.590016212
200512,73.07494252,104.7381417,59.05764643,95.22571844,104.1327061,7.666161837,8.752748744,14.19446233,1.798096483,22.8237317,47.45231277771158,49.29081475607064,41.73613346031042,45.74682625355368,600.5533038,22.15347199
200601,37.17244444,56.07344709,30.46940468,51.99112921,55.43759579,9.356943795,9.742371104,8.784687261,0.826439995,27.20368902,12.553225313007104,18.564309996108577,20.043050409730057,23.431822295933557,623.4660252,45.62890093
200602,44.59778131,67.52974592,32.21406781,61.32617637,68.50213939,14.06093315,10.49250947,14.94267818,5.038204509,19.4983503,25.272804826331367,38.504421519863556,37.15332101936001,39.18377026597891,620.8691672,50.49706233
200603,77.24101669,95.79092843,65.02193019,95.20343178,98.43143307,35.14472711,25.18544044,33.634747,19.8819126,35.45933096,38.258626547863,40.447874857122116,31.83434393869709,38.22077081803832,662.5458532,50.85883217
200604,77.9298578,87.87302072,67.41617994,87.34563179,89.74560414,72.18987204,58.17514263,59.64258345,44.69273051,47.12921826,-24.118812861946438,-31.678979542688992,-28.135916144750425,-25.449652418059458,672.2271798,11.04144736
200605,84.11128023,89.39244734,73.40852254,91.11311287,93.5995189,112.3780684,104.1079487,77.93491357,77.56176695,46.48684143,-28.528681392912986,-37.30879562868681,-34.84684267563587,-36.52707252396543,608.3085831,1.536608454
200606,106.085384,116.034668,99.8731285,113.5762312,118.8522543,131.0784297,121.9205339,90.93047514,98.70859526,39.12089219,-44.631457826313024,-45.167779390083794,-46.63383858952234,-50.09558534938179,587.078125,0.471670291
200607,53.19690906,54.55181885,46.45387394,57.18763025,59.38729351,132.6431058,141.8339152,97.03420896,108.0207238,29.6361641,-49.74257525672357,-41.24321742538196,-40.36240948822399,-41.08826357950255,511.557093,0.012762756
200608,139.4985312,144.4552874,127.5423933,149.8149336,151.1263943,105.9655728,91.94580211,77.19376384,75.09719436,19.31420128,-19.261438916877296,-17.84223487737416,-13.48703151483419,-20.21057272964509,489.1622105,0.025636977
200609,34.04314703,36.42672076,28.96020141,37.45713708,39.76357608,68.9985746,65.27143648,53.05887049,50.35797659,17.75750293,-19.61572808514059,-28.197787517744185,-22.94236676820486,-35.02913773918869,486.8270606,0.014289254
200610,32.58434094,35.34581866,28.71435916,36.72203713,37.89479734,33.28725083,33.96391242,31.80261729,21.62032575,14.18801583,1.3030547985245988,-2.981265573957245,-3.4696902744091673,-13.694309882419972,476.6671492,0.025326232
200611,36.19640348,47.2285287,29.69376577,43.36521402,48.59338279,14.10250914,14.95296401,16.80186691,5.050664499,12.75979289,13.820956181267718,14.717538551227996,10.338099433418378,11.08230723435743,490.3623978,1.170145643
200612,28.70707915,40.51353673,23.49236831,37.27785661,41.73093175,7.86233665,6.665492752,9.851249175,2.224688318,13.55420085,18.234948659964772,23.196272575517323,20.26934592354662,23.400680580640138,509.2908719,3.380869353
200701,55.1685169,84.97365025,44.57925441,75.63437123,87.54727946,9.35155706,14.18275556,15.91745918,3.269682437,15.07664058,27.833877217147663,31.594042369743367,35.16392193681024,32.5751363983898,545.8198229,8.580674174
200702,50.2266104,72.60631016,36.51553759,68.40557475,73.6048727,14.42078283,15.33344687,20.5362632,8.664016576,19.29493065,23.905420881819065,18.69582611547356,19.578907855000914,24.91234489567762,580.0886836,9.303027078
200703,58.46129407,75.38206264,52.85127029,72.11447022,76.72474774,36.08752611,40.32749702,40.69251852,23.98036682,25.75726341,-0.2868229914443319,-1.7335092374892618,-7.43697514314151,0.733522087882001,606.4998723,5.445738915
200704,12.69357757,13.53939383,9.566374116,14.65097825,16.77489569,71.45451776,77.63770862,61.98917532,46.9128442,22.34944131,-34.39256174448777,-35.07746506328574,-31.162256886645324,-32.03820161302288,565.7233907,1.312281887
200705,94.76796662,106.979126,83.08051579,102.8131787,104.1720772,106.911277,114.827976,84.36179113,76.36054953,15.80573956,-28.654738231119598,-28.91284998454765,-25.533782127877025,-30.511565759410274,523.5146458,0.0582567
200706,70.38179602,75.57209124,61.67583224,76.43270127,79.95201273,130.443256,130.5536338,89.85425536,95.84821981,15.95455655,-29.324419678693673,-22.873588154135916,-27.79132159978146,-31.678030358744977,479.9638965,0.023249883
200707,64.88371722,64.5020534,58.51911265,68.82926813,67.33560222,129.2146479,111.1900332,84.07979607,91.38172765,13.27583643,-32.59624960696938,-31.30523237095298,-32.53593908532428,-37.325855270295285,419.8548195,0.015058232
200708,98.45574336,100.475865,91.50927526,106.1631842,112.0108353,103.6236072,82.87188139,74.60580935,72.79486624,11.58316729,-9.11334598864245,-16.849456082151676,-14.443777603957344,-10.174205081067768,404.9614271,0.01317826
200709,103.4528696,116.1095581,96.15442306,112.5135735,114.2390582,68.62800857,53.07118529,50.52498084,41.10491024,15.35821668,1.4100874593669346,-5.079467440725949,1.3561792619829305,5.512599397332082,443.9640668,0.081300018
200710,81.47552474,89.22856794,74.6830646,88.49112235,84.5188128,33.0132312,27.20045342,31.43113771,19.1490376,16.53698259,26.488748123166687,38.64721595758705,35.69271600999967,38.646766539820256,474.5799557,0.548667679
200711,77.4341898,96.74110631,65.35605874,90.87842766,75.83956701,14.23748694,14.14231602,18.49323325,5.006411525,21.89763676,56.66817545434624,66.98549420383125,59.8022655823748,62.75677668700625,537.5384877,6.685110482
200712,46.37893818,63.20738002,37.80392056,60.52685231,62.76266604,7.570531478,8.061261336,10.36206321,2.231325181,27.4263779,37.92230206690897,25.52840711365001,32.579862724985816,34.109659094321394,590.9154036,12.790997
200801,33.82212193,53.52040318,26.09203788,48.2132726,56.76988249,9.456160776,7.801052665,11.37860024,3.096497094,18.65255019,13.242581831706072,3.8269416826018308,8.026468986856344,4.700434960392869,595.4923791,18.92738712
200802,16.71440204,26.10653033,9.927616335,22.92906795,29.48806838,15.43274368,16.10036774,18.34025753,9.51523702,18.06584483,6.400987568828334,2.623683243353746,0.7455587020133301,4.327898141196414,611.9796492,11.93170449
200803,69.23552985,88.60611398,59.39719069,83.80735851,89.82993443,35.97014004,39.13744518,41.46838811,22.49901535,21.46509919,5.525944151283632,9.593059564316487,8.833800146821808,7.21390959736717,622.7127044,7.665712279
200804,71.53979692,75.05065918,60.53824586,81.82697845,71.28871126,71.80001959,63.29591706,60.09159997,46.93628503,30.16933829,-19.433651284642764,-1.1171251383336767,-4.451773688595679,-9.221101663162429,618.8252725,4.992668131
200805,61.52837087,61.85985456,51.54187575,67.16524076,74.22762155,113.5652311,111.50215,82.96905335,83.66697421,28.1758221,-41.17424369528812,-35.664042428980295,-34.11350568197874,-28.881498718066865,573.3727861,1.889386336
200806,91.53248467,93.42994036,85.38355545,98.67854695,100.5870657,130.176445,126.6252448,90.21241698,97.72793239,21.8869283,-27.09989021289865,-38.98290593501074,-39.351079824891116,-34.30326545556049,527.2046151,0.070455972
200807,115.7276801,114.7594169,109.7915707,124.3544203,123.7247211,132.3851193,120.9061436,88.96154419,98.535968,16.64190484,-22.840907804239983,-31.367068482684587,-33.400288654229016,-33.87120686213388,480.6215514,0.012868534
200808,54.44058668,53.01541574,49.01874589,58.05681008,56.77993018,108.2776811,93.5247999,76.29352755,81.34789439,19.58721222,-32.31224861507654,-34.850330503374124,-29.539941203211853,-40.329867096805316,460.2293937,0.013421733
